Rainfall_mm,Temperature_C,Fertilizer_kg,SoilPH,Sunlight_Hours,PestControl,CropYield
800,25,120,6.5,7,Yes,Good
300,38,40,4.5,4,No,Poor
750,23,110,6.8,8,Yes,Good
250,40,30,4.2,3,No,Poor
820,24,130,6.6,7,Yes,Good
280,39,35,4.4,3,No,Poor
780,26,115,6.7,8,Yes,Good
260,41,25,4.1,3,No,Poor
810,22,125,6.9,7,Yes,Good
270,38,38,4.3,4,No,Poor
760,25,108,6.5,8,Yes,Good
240,42,28,4.0,2,No,Poor
830,23,135,6.8,7,Yes,Good
290,37,42,4.6,4,No,Poor
770,24,112,6.6,8,Yes,Good
255,40,32,4.2,3,No,Poor
800,26,120,6.7,7,Yes,Good
275,39,36,4.4,3,No,Poor
840,22,140,6.9,8,Yes,Good
265,41,27,4.1,2,No,Poor
790,25,118,6.5,7,Yes,Good
285,38,40,4.5,4,No,Poor
750,23,105,6.8,8,Yes,Good
245,42,26,4.0,3,No,Poor
820,24,128,6.6,7,Yes,Good
295,37,44,4.7,4,No,Poor
760,26,110,6.7,8,Yes,Good
260,40,30,4.2,3,No,Poor
810,22,122,6.9,7,Yes,Good
270,39,37,4.3,3,No,Poor
780,25,115,6.5,8,Yes,Good
250,41,29,4.1,2,No,Poor
830,23,132,6.8,7,Yes,Good
280,38,41,4.6,4,No,Poor
770,24,108,6.6,8,Yes,Good
258,40,33,4.2,3,No,Poor
800,26,120,6.7,7,Yes,Good
272,39,35,4.4,3,No,Poor
845,22,138,6.9,8,Yes,Good
263,41,26,4.1,2,No,Poor
788,25,116,6.5,7,Yes,Good
283,38,39,4.5,4,No,Poor
752,23,106,6.8,8,Yes,Good
243,42,27,4.0,3,No,Poor
822,24,130,6.6,7,Yes,Good
293,37,43,4.7,4,No,Poor
762,26,111,6.7,8,Yes,Good
258,40,31,4.2,3,No,Poor
812,22,123,6.9,7,Yes,Good
268,39,36,4.3,3,No,Poor
