Weather,TimeOfDay,WorkLoad,Mood,HasCoupon,CafeNearby,VisitCoffeeShop
Sunny,Morning,Light,Happy,Yes,Yes,Yes
Sunny,Morning,Light,Happy,No,Yes,Yes
Rainy,Morning,Heavy,Stressed,Yes,Yes,Yes
Sunny,Afternoon,Light,Happy,Yes,Yes,Yes
Cloudy,Morning,Light,Happy,Yes,Yes,Yes
Rainy,Night,Heavy,Tired,No,No,No
Sunny,Morning,Light,Bored,No,Yes,Yes
Cloudy,Morning,Light,Happy,Yes,Yes,Yes
Rainy,Afternoon,Heavy,Tired,No,No,No
Sunny,Morning,Light,Happy,Yes,Yes,Yes
Windy,Night,Heavy,Stressed,No,No,No
Sunny,Morning,Light,Happy,Yes,Yes,Yes
Cloudy,Afternoon,Light,Bored,Yes,Yes,Yes
Rainy,Morning,Heavy,Stressed,No,No,No
Sunny,Morning,Light,Happy,Yes,Yes,Yes
Cloudy,Morning,Light,Happy,No,Yes,Yes
Windy,Afternoon,Heavy,Tired,No,No,No
Sunny,Morning,Light,Happy,Yes,Yes,Yes
Rainy,Night,Heavy,Stressed,No,No,No
Sunny,Morning,Light,Bored,Yes,Yes,Yes
Cloudy,Morning,Light,Happy,Yes,Yes,Yes
Sunny,Afternoon,Light,Happy,Yes,Yes,Yes
Rainy,Morning,Heavy,Tired,No,No,No
Sunny,Morning,Light,Happy,No,Yes,Yes
Cloudy,Morning,Light,Happy,Yes,Yes,Yes
Windy,Night,Heavy,Stressed,No,No,No
Sunny,Morning,Light,Happy,Yes,Yes,Yes
Rainy,Afternoon,Heavy,Tired,No,No,No
Sunny,Morning,Light,Bored,Yes,Yes,Yes
Cloudy,Morning,Light,Happy,Yes,Yes,Yes
Sunny,Morning,Light,Happy,Yes,Yes,Yes
Rainy,Night,Heavy,Stressed,No,No,No
Cloudy,Afternoon,Light,Happy,Yes,Yes,Yes
Sunny,Morning,Light,Happy,No,Yes,Yes
Windy,Morning,Heavy,Tired,No,No,No
Sunny,Morning,Light,Happy,Yes,Yes,Yes
Cloudy,Morning,Light,Bored,Yes,Yes,Yes
Rainy,Afternoon,Heavy,Stressed,No,No,No
Sunny,Morning,Light,Happy,Yes,Yes,Yes
Cloudy,Morning,Light,Happy,Yes,Yes,Yes
Rainy,Night,Heavy,Tired,No,No,No
Sunny,Morning,Light,Happy,Yes,Yes,Yes
Windy,Afternoon,Heavy,Stressed,No,No,No
Sunny,Morning,Light,Bored,Yes,Yes,Yes
Cloudy,Morning,Light,Happy,No,Yes,Yes
Sunny,Morning,Light,Happy,Yes,Yes,Yes
Rainy,Morning,Heavy,Stressed,No,No,No
Sunny,Afternoon,Light,Happy,Yes,Yes,Yes
Cloudy,Morning,Light,Happy,Yes,Yes,Yes
Sunny,Morning,Light,Happy,Yes,Yes,Yes
